"","flight","time","angle","dur","ang_vel","type"
"1","1","0.8",-48.9063318381702,0.4,-122.265829595425,"ctrl"
"2","1","5.6",145.002544809352,4.6,31.5222923498591,"ctrl"
"3","1","6.8",-5.24409702965215,1,-5.24409702965215,"ctrl"
"4","1","9.2",21.3798207160917,2.2,9.71810032549622,"ctrl"
"5","1","10.8",-7.0103612600566,1.4,-5.00740090004043,"ctrl"
"6","1","12",2.30681789825177,1,2.30681789825177,"ctrl"
"7","1","13.2",-1.26115798590324,1,-1.26115798590324,"ctrl"
"8","1","18.4",30.4392251626412,4.99999999999999,6.08784503252825,"ctrl"
"9","1","20.4",-7.00868501358615,1.8,-3.89371389643675,"ctrl"
"10","1","22.8",22.7924717569314,2.2,10.3602144349688,"ctrl"
"11","1","26.4",-31.1574959843271,3.4,-9.16396940715504,"ctrl"
"12","1","28.8",18.9033411505786,2.2,8.59242779571755,"ctrl"
"13","1","30.2",-6.4367301929756,1.2,-5.36394182747967,"ctrl"
"14","1","30.6",0,0,NA,"ctrl"
"15","1","31.6",0,0,NA,"ctrl"
"16","2","1.8",-59.3120030722365,1.4,-42.3657164801689,"ctrl"
"17","2","2.6",0,0,NA,"ctrl"
"18","2","3.2",0,0,NA,"ctrl"
"19","2","5.6",177.677258367444,3,59.225752789148,"ctrl"
"20","2","6",-103.834279418261,0.4,-259.585698545652,"ctrl"
"21","2","7.4",18.6867931372596,1.2,15.572327614383,"ctrl"
"22","2","9.2",-15.1999491325802,1.6,-9.49996820786261,"ctrl"
"23","2","10.2",0,0,NA,"ctrl"
"24","2","10.8",-107.408062150049,1.2,-89.5067184583741,"ctrl"
"25","2","12.2",28.2605680375741,1.2,23.5504733646451,"ctrl"
"26","2","13.4",-8.53656277538363,1,-8.53656277538363,"ctrl"
"27","2","13.8",0,0,NA,"ctrl"
"28","2","14.8",-7.34232176907308,0.6,-12.2372029484551,"ctrl"
"29","2","15.4",0.780566820043432,0.800000000000001,0.97570852505429,"ctrl"
"30","2","18",-38.4428759097851,2.4,-16.0178649624105,"ctrl"
"31","2","18.4",142.157990368021,0.199999999999999,710.789951840108,"ctrl"
"32","2","18.8",-1.45065146660774,0.199999999999999,-7.25325733303874,"ctrl"
"33","2","21.4",7.78417100310603,2.4,3.24340458462752,"ctrl"
"34","2","22.6",-0.636941192262548,1,-0.636941192262548,"ctrl"
"35","2","25.4",9.72308457369518,2.6,3.73964791295969,"ctrl"
"36","2","28.2",-8.8675126712873,2.6,-3.41058179664897,"ctrl"
"37","3","2.2",91.7134852194234,1.8,50.951936233013,"ctrl"
"38","3","5.8",-121.346608359775,3.4,-35.6901789293455,"ctrl"
"39","3","14.6",149.835712927803,8.59999999999999,17.4227573171864,"ctrl"
"40","3","16.4",-11.0711411023524,1.6,-6.91946318897027,"ctrl"
"41","3","19.6",19.1651798434125,3,6.38839328113749,"ctrl"
"42","3","20",0,0,NA,"ctrl"
"43","3","21.2",2.13157966314495,1.2,1.77631638595413,"ctrl"
"44","3","24.8",-19.0774413284585,3.4,-5.61101215542897,"ctrl"
"45","3","27",6.1684470073723,2,3.08422350368615,"ctrl"
"46","3","28.8",-3.25950828884076,1.6,-2.03719268052548,"ctrl"
"47","3","30.2",1.63159644514542,1.2,1.35966370428785,"ctrl"
"48","3","31.2",-0.807778173155166,0.800000000000001,-1.00972271644396,"ctrl"
"49","3","32.2",0.649716260923033,0.400000000000006,1.62429065230756,"ctrl"
"50","4","0.4",0,0,NA,"ctrl"
"51","4","4.8",157.004771901672,4.2,37.3820885480171,"ctrl"
"52","4","6.8",-8.52239735898246,1.8,-4.7346651994347,"ctrl"
"53","4","8.6",14.3804389294909,1.6,8.9877743309318,"ctrl"
"54","4","10.2",-9.07401466422942,1.4,-6.48143904587817,"ctrl"
"55","4","11.2",2.90141200080947,0.799999999999999,3.62676500101184,"ctrl"
"56","4","13.4",-5.40791237108138,2,-2.70395618554069,"ctrl"
"57","4","15.4",1.8506879245292,1.8,1.02815995807178,"ctrl"
"58","4","16.6",-1.41472909063188,1,-1.41472909063187,"ctrl"
"59","4","18.6",8.59978437677053,1.8,4.77765798709474,"ctrl"
"60","4","20.6",-7.52869467447048,1.8,-4.1826081524836,"ctrl"
"61","4","21",0,0,NA,"ctrl"
"62","4","22",-0.693438410422047,1,-0.693438410422047,"ctrl"
"63","4","22.4",0.0729226457404585,0.199999999999999,0.364613228702294,"ctrl"
"64","4","23.4",0,0,NA,"ctrl"
"65","5","3",119.788080355843,2.6,46.072338598401,"ctrl"
"66","5","3.4",0,0,NA,"ctrl"
"67","5","8.6",178.259459665847,5.2,34.2806653203553,"ctrl"
"68","5","11.2",-7.54931070775205,2.4,-3.14554612823002,"ctrl"
"69","5","12.6",2.3584705271948,1.2,1.96539210599567,"ctrl"
"70","5","13",0,0,NA,"ctrl"
"71","5","15",5.70883982579454,2,2.85441991289727,"ctrl"
"72","5","20",-8.69658800689591,4.8,-1.81178916810331,"ctrl"
"73","5","25.2",21.7111155375575,5,4.34222310751151,"ctrl"
"74","5","26.6",-5.29047229462298,1.2,-4.40872691218581,"ctrl"
"75","5","27.6",0.250368273099292,0.400000000000002,0.625920682748226,"ctrl"
"76","6","4",133.386223723985,3.6,37.0517288122179,"ctrl"
"77","6","6.8",-12.2528299362974,2.6,-4.71262689857591,"ctrl"
"78","6","9.6",31.1236187671611,2.6,11.9706226027543,"ctrl"
"79","6","13.4",-50.0289542189346,3.6,-13.8969317274818,"ctrl"
"80","6","16.4",32.8094388872026,2.79999999999999,11.7176567454295,"ctrl"
"81","6","19.2",-30.3192228015041,2.6,-11.66123953904,"ctrl"
"82","6","23.6",18.6713836312267,3.8,4.91352200821755,"ctrl"
"83","7","5.2",159.349592876758,4.8,33.1978318493245,"ctrl"
"84","7","6.6",-1.42687731299564,1,-1.42687731299564,"ctrl"
"85","7","7.8",1.13388926013951,1,1.13388926013951,"ctrl"
"86","7","9",-0.979685631059087,1.2,-0.816404692549239,"ctrl"
"87","7","11",3.36509351362953,1.8,1.86949639646085,"ctrl"
"88","7","12.6",-2.21219199585763,1.4,-1.5801371398983,"ctrl"
"89","7","13.8",2.29521223472195,1,2.29521223472195,"ctrl"
"90","7","15.8",-6.61699214495331,1.8,-3.67610674719628,"ctrl"
"91","7","17.2",1.93834049615829,1.2,1.61528374679857,"ctrl"
"92","7","19.6",-10.9424105545156,2.2,-4.97382297932525,"ctrl"
"93","7","22",7.80735744523283,2.2,3.5487988387422,"ctrl"
"94","7","23.6",-5.07439687966048,1.4,-3.62456919975748,"ctrl"
"95","7","24.6",0,0,NA,"ctrl"
"96","8","0.4",0,0,NA,"ctrl"
"97","8","4.4",106.848390457299,3.8,28.1179974887629,"ctrl"
"98","8","6.8",-13.7404187123548,2.2,-6.2456448692522,"ctrl"
"99","8","10.2",18.7497725312716,3.2,5.85930391602238,"ctrl"
"100","8","12.4",-5.33015518105015,2,-2.66507759052508,"ctrl"
"101","8","16.2",21.1376548180688,3.59999999999999,5.8715707827969,"ctrl"
"102","8","17.8",-5.15140106855948,1.4,-3.67957219182819,"ctrl"
"103","8","19.8",10.0075043258931,1.8,5.55972462549619,"ctrl"
"104","8","23.2",-13.0117268425737,3.2,-4.06616463830427,"ctrl"
"105","8","26",6.85282146913805,2.6,2.63570056505309,"ctrl"
"106","8","27.4",-10.0257533634877,1.2,-8.35479446957313,"ctrl"
"107","8","28.4",1.94873055348788,0.799999999999997,2.43591319185986,"ctrl"
"108","8","29.4",0,0,NA,"ctrl"
"109","9","0.6",-60.1762724155485,0.2,-300.881362077742,"ctrl"
"110","9","4.8",133.762068817626,4,33.4405172044065,"ctrl"
"111","9","6.6",-8.58065936938989,1.6,-5.36291210586868,"ctrl"
"112","9","8.2",3.73514738015104,1.4,2.6679624143936,"ctrl"
"113","9","12",-10.4484202013832,3.6,-2.90233894482868,"ctrl"
"114","9","18.4",43.4147973587393,6.19999999999999,7.00238667076441,"ctrl"
"115","9","18.8",0,0,NA,"ctrl"
"116","9","19.8",0.853878087884614,1,0.853878087884614,"ctrl"
"117","9","20.8",-1.05355303558187,0.800000000000001,-1.31694129447734,"ctrl"
"118","9","21.8",1.40991044970396,0.800000000000001,1.76238806212995,"ctrl"
"119","9","22.6",-0.0148036024192277,0.199999999999999,-0.0740180120961387,"ctrl"
"120","9","26.8",23.7051383723058,4.4,5.38753144825132,"ctrl"
"121","9","27.2",0,0,NA,"ctrl"
"122","9","28",0,0,NA,"ctrl"
"123","9","29",0,0,NA,"ctrl"
"124","10","1",-133.349497373822,0.4,-333.373743434556,"ctrl"
"125","10","14.6",319.422044489082,13.6,23.4869150359619,"ctrl"
"126","10","26",-149.414804728637,11.2,-13.3406075650568,"ctrl"
"127","10","26.4",0,0,NA,"ctrl"
"128","10","30",-11.6267280382127,3.6,-3.22964667728132,"ctrl"
"129","10","31",0.890427716787795,0.800000000000001,1.11303464598474,"ctrl"
"130","10","32.4",-2.59790330385286,1.2,-2.16491941987739,"ctrl"
"131","10","34.6",5.32501475265858,2,2.66250737632929,"ctrl"
"132","10","38.8",-21.5743686853553,4,-5.39359217133882,"ctrl"
"133","10","41.6",15.7484916683684,2.6,6.05711218014168,"ctrl"
"134","10","42.6",0,0,NA,"ctrl"
"135","11","0.4",-40.4268670276835,0,-Inf,"ctrl"
"136","11","3.6",90.3217295591607,3,30.1072431863869,"ctrl"
"137","11","7",-65.7647150719928,3.2,-20.5514734599978,"ctrl"
"138","11","8.2",6.10160184565829,1,6.10160184565829,"ctrl"
"139","11","9.2",-2.25511200746883,0.799999999999999,-2.81889000933604,"ctrl"
"140","11","12.8",81.5888271975739,3.4,23.9967138816394,"ctrl"
"141","11","14.8",-6.05102358641386,1.8,-3.36167977022992,"ctrl"
"142","11","16.8",13.3708993114596,1.8,7.42827739525529,"ctrl"
"143","11","18.4",-15.2642538385227,1.4,-10.9030384560877,"ctrl"
"144","11","21.4",19.7088176898243,2.8,7.03886346065155,"ctrl"
"145","11","22.8",-10.5274785674608,1.2,-8.77289880621733,"ctrl"
"146","11","23.6",2.03487197039968,0.600000000000001,3.39145328399946,"ctrl"
"147","11","26.8",-25.6183324861487,3,-8.53944416204957,"ctrl"
"148","11","33.8",86.6265661376962,6.8,12.7392009026024,"ctrl"
"149","11","36.6",-31.4791824200876,2.6,-12.1073778538798,"ctrl"
"150","11","43",53.0784151842741,6.2,8.56103470714098,"ctrl"
"151","11","47",-47.875312909984,3.8,-12.598766555259,"ctrl"
"152","12","0.8",-96.1279949892803,0.2,-480.639974946401,"ctrl"
"153","12","6",149.204811684436,5.2,28.6932330162377,"ctrl"
"154","12","7.8",-16.9689563316972,1.6,-10.6055977073107,"ctrl"
"155","12","15.6",48.1382880061665,7.59999999999998,6.33398526396929,"ctrl"
"156","12","17.2",-0.901767755167377,1,-0.901767755167377,"ctrl"
"157","12","18",0.211406167114936,1,0.211406167114936,"ctrl"
"158","12","20",-3.60688071614571,1.8,-2.00382262008095,"ctrl"
"159","12","23.2",5.53580980505889,2.8,1.97707493037817,"ctrl"
"160","12","25.8",-9.57194326583986,2.6,-3.68151664070764,"ctrl"
"161","12","29.8",15.2732548859755,3.8,4.01927760157249,"ctrl"
"162","12","32.8",-12.134043149085,2.8,-4.33358683895893,"ctrl"
"163","12","33.6",0.0720876663159299,0.600000000000001,0.120146110526549,"ctrl"
"164","12","34.6",0,0,NA,"ctrl"
"165","13","0.4",-50.3465230176159,0,-Inf,"ctrl"
"166","13","3.8",52.3452746278619,3.2,16.3578983212068,"ctrl"
"167","13","7.2",-42.7457283957351,3.2,-13.3580401236672,"ctrl"
"168","13","11.4",140.146469810811,4,35.0366174527028,"ctrl"
"169","13","14.6",-23.3874338108239,3,-7.79581127027464,"ctrl"
"170","13","17.2",10.9091551848531,2.4,4.54548132702215,"ctrl"
"171","13","19.8",-6.9251216388054,2.4,-2.88546734950225,"ctrl"
"172","13","21.6",10.4956933400909,1.6,6.5598083375568,"ctrl"
"173","13","25.2",-16.6268378298029,3.4,-4.89024642053027,"ctrl"
"174","13","28.6",7.60626105844814,3.2,2.37695658076504,"ctrl"
"175","13","31.6",-11.0506177143131,2.8,-3.94664918368326,"ctrl"
"176","13","33.2",2.69865478298332,1.40000000000001,1.92761055927379,"ctrl"
