condition,pigeon,small.big,dist2cent,dist2pred,study.flight,ang_vel,init
p,24,s,6.744292834,27.10859893,10,0.131330122,turn
p,24,s,9.461597793,44.13584863,10,0.119724076,turn
p,24,s,7.796133496,65.39894176,10,0.032363339,turn
p,24,s,5.373415052,69.26545444,10,0.347707572,turn
p,24,s,3.544359941,60.50257586,10,0.084469214,turn
p,24,s,3.586041734,59.44499896,10,0.111947219,turn
p,24,s,2.825165703,53.97861266,10,0.143368371,turn
p,24,s,2.613814466,62.28801325,10,0.809683499,turn
p,24,s,4.154609565,127.583418,10,0.043302313,turn
p,28,s,2.601122551,23.8807662,10,0.995606659,turn
p,28,s,5.439002232,24.36812615,10,0.111493121,turn
p,28,s,7.780695281,44.15376321,10,0.14534746,turn
p,28,s,7.417342995,54.61668132,10,0.018759939,turn
p,28,s,3.693184808,61.91431282,10,0.005809198,turn
p,28,s,5.586396984,56.35057848,10,0.097580953,turn
p,28,s,3.786854805,128.0515266,10,0.090894202,turn
p,45,s,1.827157992,23.12237705,10,0.642701006,turn
p,45,s,6.527143014,25.92405866,10,0.073564076,turn
p,45,s,9.42813552,45.67750426,10,0.048772648,turn
p,45,s,7.660858252,54.82073537,10,0.112715288,turn
p,45,s,4.615291792,55.3172002,10,0.059483268,turn
p,45,s,3.45521384,127.7271386,10,0.087582108,turn
p,45,s,4.873388758,195.5133973,10,0.004012258,turn
p,48,s,1.238405134,22.63354531,10,1.080280416,turn
p,48,s,13.47028093,37.32649401,10,0.002366094,turn
p,48,s,17.26576998,55.8366416,10,0.031292158,turn
p,48,s,11.72841541,67.35904362,10,0.142322538,turn
p,48,s,9.256458194,72.79628679,10,0.054669615,turn
p,48,s,3.806425672,55.18396769,10,0.127127005,turn
p,48,s,4.808238844,133.5623431,10,0.103912193,turn
p,61,s,4.194053531,18.56847091,10,0.818505121,split
p,61,s,37.40270986,21.23912018,10,0.108893757,turn
p,61,s,45.40899355,37.2876389,10,0.172644804,turn
p,61,s,21.85751096,34.24320638,10,0.195374725,turn
p,64,s,7.183530477,16.0402904,10,0.461091998,split
p,64,s,3.239145374,58.27258914,10,0.030803528,turn
p,64,s,4.169815996,63.22400666,10,0.127436385,turn
p,64,s,4.119468657,54.67066197,10,0.124607656,turn
p,64,s,4.931319589,54.96372526,10,0.153141606,turn
p,64,s,1.828411918,124.1497823,10,0.064409219,turn
p,80,s,1.33328266,20.09592584,10,0.606046969,turn
p,80,s,3.133233687,19.35344755,10,0.040926764,turn
p,80,s,7.242327472,55.8170129,10,0.016358631,turn
p,80,s,4.479429092,67.06466338,10,0.02489663,turn
p,80,s,4.40616861,55.47958288,10,0.174784691,turn
p,80,s,2.914977401,131.8558426,10,0.130423288,turn
p,91,s,7.97720476,22.66169462,10,0.324525081,turn
p,91,s,8.965950596,27.0761383,10,0.063999098,turn
p,91,s,9.873288572,46.74917749,10,0.165130805,turn
p,91,s,7.927246728,55.39129536,10,0.013204658,turn
p,91,s,4.991733327,69.06242344,10,0.19588932,turn
p,91,s,3.874433837,54.39240548,10,0.161361431,turn
p,91,s,3.11405701,126.6854143,10,0.091478691,turn
p,27,s,3.529771412,40.08384668,11,0.102104327,turn
p,27,s,3.382175893,156.38225,11,0.01092645,turn
p,37,s,4.331407888,47.14658318,11,0.025377218,turn
p,37,s,11.63663626,101.2324,11,0.030609983,turn
p,37,s,6.545510913,158.5311455,11,9.85E-05,turn
p,43,s,4.298385021,44.20085128,11,0.019087832,turn
p,43,s,11.14641783,92.81110854,11,0.006141669,turn
p,43,s,11.12842951,95.07914797,11,0.005701784,turn
p,43,s,10.85857675,97.01423273,11,0.165542007,turn
p,43,s,3.427811739,153.5503695,11,0.025632005,turn
p,57,s,6.465309761,35.44237064,11,0.31732862,turn
p,57,s,4.948969299,157.7006646,11,0.191426033,turn
p,65,s,74.77168403,82.8687418,11,0.12464114,turn
p,65,s,44.02323543,141.6678791,11,0.107345905,turn
p,84,s,4.31686786,41.63039198,11,0.023497534,turn
p,84,s,3.76715741,156.4395974,11,0.17032253,turn
p,92,s,3.36432521,39.14042842,11,0.099565467,turn
p,92,s,9.619738789,108.2000303,11,0.000740135,turn
p,92,s,3.940289448,153.8798718,11,0.202322509,turn
p,94,s,3.150038012,39.90389701,11,0.073561997,turn
p,94,s,11.26414483,91.39000609,11,0.161844894,turn
p,94,s,4.46020637,153.158726,11,0.049924717,turn
p,30,s,0.874554408,67.47442441,12,0.980363931,turn
p,30,s,4.023320004,63.54703936,12,0.036281881,turn
p,30,s,1.171419943,71.192525,12,0.217159375,turn
p,30,s,2.386467345,83.31442373,12,0.047162545,turn
p,30,s,2.289976588,93.58160922,12,0.072858547,turn
p,30,s,0.806203569,142.1367371,12,0.00649405,turn
p,31,s,2.190472076,63.30177067,12,0.176983028,turn
p,31,s,6.998000386,67.38761513,12,0.272620792,turn
p,31,s,5.003700669,77.76073378,12,0.035291536,turn
p,31,s,0.865455787,98.47550906,12,0.122383903,turn
p,31,s,2.207211179,94.63113851,12,0.039798129,turn
p,31,s,1.648839895,106.3094253,12,0.076952473,turn
p,31,s,1.160054824,141.044651,12,0.038754538,turn
p,31,s,0.946192276,179.7478336,12,0.107748075,turn
p,51,s,1.121540762,66.60024284,12,0.420212912,turn
p,51,s,0.267270547,74.13595487,12,0.104136939,turn
p,51,s,0.736692503,87.0523189,12,0.127768008,turn
p,51,s,0.518833771,99.32555622,12,0.016648474,turn
p,51,s,0.949864315,93.90051709,12,0.066777574,turn
p,51,s,1.732301289,104.1535325,12,0.076453357,turn
p,51,s,1.168564465,143.4996021,12,0.121185043,turn
p,51,s,2.218889703,178.6806245,12,0.045996395,turn
p,62,s,1.976209407,68.29256444,12,0.602590077,turn
p,62,s,2.289706571,74.23810319,12,0.220195289,turn
p,62,s,2.044194123,92.10339844,12,0.092643841,turn
p,62,s,1.206737441,100.9958425,12,0.048898195,turn
p,62,s,1.693265276,95.38326123,12,0.002049536,turn
p,62,s,1.59008237,106.0490383,12,0.058638668,turn
p,62,s,1.821396781,114.5706388,12,0.103550257,turn
p,62,s,1.69203562,140.4483254,12,0.045391319,turn
p,62,s,1.551048152,179.0132848,12,0.031667974,turn
p,63,s,0.887250895,66.72655443,12,2.88E-05,turn
p,63,s,1.403441203,72.68588085,12,0.186950249,turn
p,63,s,1.827007692,91.90238401,12,0.023028133,turn
p,63,s,1.725163617,95.8665669,12,0.055063074,turn
p,63,s,1.38844754,103.3283766,12,0.186233359,turn
p,63,s,3.779532837,115.0968488,12,0.041047518,turn
p,63,s,1.550769009,141.2258673,12,0.004792243,turn
p,63,s,2.021479738,186.0220593,12,0.010234478,turn
p,82,s,0.806965793,66.31315457,12,0.365766384,turn
p,82,s,2.268354194,71.12076709,12,0.044680031,turn
p,82,s,1.05403414,99.26943456,12,0.14566122,turn
p,82,s,0.952171884,95.26584007,12,0.05761764,turn
p,82,s,0.561685596,105.2805961,12,0.09739962,turn
p,82,s,0.88267416,143.624761,12,0.197221594,turn
p,82,s,2.566822738,181.1675685,12,0.262567687,turn
p,88,s,0.51266244,66.51115036,12,0.456889759,turn
p,88,s,1.544339694,75.44348528,12,0.159256092,turn
p,88,s,1.349759519,83.83728904,12,0.033482236,turn
p,88,s,1.112035333,96.87945343,12,0.067408302,turn
p,88,s,1.36098921,106.0114603,12,0.123029676,turn
p,88,s,1.743454369,112.5826432,12,0.071670916,turn
p,88,s,1.344770879,140.4830308,12,1.81E-05,turn
p,88,s,1.451042859,182.9405988,12,0.241550216,turn
p,98,s,1.085756923,66.02026334,12,0.64000974,turn
p,98,s,3.69010635,73.95727637,12,0.519580533,turn
p,98,s,2.626053376,71.16472353,12,0.02595269,turn
p,98,s,1.348042858,94.67731367,12,0.06951338,turn
p,98,s,2.583990738,102.8688929,12,0.043465685,turn
p,98,s,3.48419255,141.6279105,12,0.08031326,turn
p,98,s,3.287556025,178.4283701,12,0.049795265,turn
p,32,s,0.456855563,18.98342641,13,0.641416097,turn
p,32,s,27.84384,47.3852855,13,0.020345885,turn
p,32,s,30.74476089,23.95476367,13,0.023552824,turn
p,46,s,1.069222333,14.16600953,13,0.089128713,turn
p,46,s,2.128845909,24.88409532,13,0.020395705,turn
p,46,s,13.50183433,26.51870939,13,0.104469842,turn
p,47,s,0.384900184,18.99284216,13,0.68765523,turn
p,47,s,37.9684696,52.68944924,13,0.147641154,turn
p,47,s,35.83941168,23.27192668,13,0.097059664,turn
p,53,s,1.608639076,17.12346887,13,0.730666953,turn
p,53,s,1.874145439,23.79046678,13,0.108976844,turn
p,53,s,17.02396766,36.97405605,13,0.146669917,turn
p,53,s,59.89991269,54.27935638,13,0.187391283,turn
p,55,s,2.720835687,16.01323469,13,0.61347783,turn
p,55,s,39.75498365,30.20814917,13,0.14365175,turn
p,59,s,1.186579379,19.61998198,13,0.375198556,turn
p,59,s,2.329544946,8.335864745,13,0.258566476,turn
p,59,s,36.35842174,55.85161784,13,0.104982522,turn
p,59,s,35.27955538,18.67867142,13,0.02909993,turn
p,67,s,0.641560492,19.33464113,13,0.961763803,turn
p,67,s,30.29397284,45.85461808,13,0.143849033,turn
p,67,s,28.99754246,12.5836539,13,0.069615709,turn
p,81,s,0.956114385,17.78111146,13,0.339615457,turn
p,81,s,30.48003956,50.41675838,13,0.061142138,turn
p,81,s,32.29929589,16.51569442,13,0.053239351,turn
p,85,s,3.032931198,21.30024402,13,0.609398275,turn
p,85,s,3.8355966,10.35715881,13,0.113099908,turn
p,85,s,138.0102901,135.4968186,13,0.024753375,turn
p,95,s,1.481039405,18.88217137,13,0.87389939,turn
p,95,s,31.21837322,50.19253513,13,0.047874694,turn
p,95,s,32.40695502,17.20717502,13,0.164004042,turn
p,24,s,2.907301935,25.51997423,14,0.238249716,turn
p,24,s,10.50995517,69.94224688,14,0.120808904,turn
p,24,s,2.785217481,35.57080023,14,0.161111771,turn
p,24,s,1.790168515,40.57869781,14,0.072235969,turn
p,24,s,2.518109543,46.39989755,14,0.010372043,turn
p,24,s,1.156866119,83.36947698,14,0.013206843,turn
p,28,s,3.72487005,24.53474644,14,0.169464201,turn
p,28,s,5.684122305,53.41372616,14,0.176614518,turn
p,28,s,6.074452082,65.38582136,14,0.068557965,turn
p,28,s,1.259010649,39.36179968,14,0.03136698,turn
p,28,s,1.797103436,40.09681085,14,0.060365068,turn
p,28,s,1.287503721,47.00684328,14,0.002992693,turn
p,28,s,0.892166088,80.35554532,14,0.022255162,turn
p,45,s,1.487284292,21.31986653,14,0.296924852,turn
p,45,s,7.50527874,66.43384701,14,0.215354698,turn
p,45,s,2.49813488,37.58953153,14,0.156471388,turn
p,45,s,3.759490002,42.52503521,14,0.207094588,turn
p,45,s,3.345965849,83.81730851,14,0.050690617,turn
p,48,s,2.414384638,20.42219891,14,0.520001644,turn
p,48,s,1.896830255,18.74412257,14,0.048487357,turn
p,48,s,7.544438508,66.33725835,14,0.192797807,turn
p,48,s,2.628919721,40.25291303,14,0.058954166,turn
p,48,s,2.562571725,42.08445083,14,0.061916033,turn
p,61,s,2.653113331,23.30894696,14,0.410753466,turn
p,61,s,4.315316102,21.87809922,14,0.020240228,turn
p,61,s,4.42956341,23.61407103,14,0.027742783,turn
p,61,s,8.148143964,67.50266654,14,0.070352775,turn
p,61,s,2.842621676,44.10302851,14,0.026428422,turn
p,61,s,4.34154284,42.03068044,14,0.027851768,turn
p,64,s,10.89840378,15.26608493,14,0.324410591,split
p,64,s,21.43005844,19.84678186,14,0.149626624,turn
p,64,s,26.0133737,25.22329664,14,0.127257718,turn
p,64,s,57.74604046,31.95586639,14,0.072082009,turn
p,64,s,20.35218772,44.1743171,14,0.294738963,split
p,80,s,3.850144477,26.59625767,14,0.426141013,turn
p,80,s,4.162969478,24.73014187,14,0.154963869,turn
p,80,s,6.165903527,65.19220043,14,0.124804197,turn
p,80,s,3.227651443,41.86631675,14,0.011527944,turn
p,80,s,4.301319564,46.11823444,14,0.141715826,turn
p,80,s,1.462680804,81.25476778,14,0.036363982,turn
p,91,s,1.189362436,23.93275525,14,0.253290451,turn
p,91,s,1.349402806,23.09468286,14,0.014662333,turn
p,91,s,8.165995409,67.40415637,14,0.097397715,turn
p,91,s,2.05227334,39.85193268,14,0.206219398,turn
p,91,s,4.740640396,41.79562271,14,0.015934292,turn
p,27,s,2.621780484,14.80401389,15,0.76085992,turn
p,27,s,3.594981319,5.732425576,15,0.041324251,turn
p,27,s,1.245695471,17.14753651,15,0.018895742,turn
p,27,s,5.010537967,31.39714387,15,0.059390374,turn
p,27,s,1.169935332,180.1675694,15,0.030361694,turn
p,27,s,0.838392851,187.7322631,15,0.027725522,turn
p,37,s,0.298013968,17.02465512,15,0.411473438,turn
p,37,s,2.016737256,9.98864474,15,0.303131794,turn
p,37,s,2.839749375,20.05949467,15,0.421726785,turn
p,37,s,3.053081392,28.57896126,15,0.037335624,turn
p,43,s,3.380911824,10.20863477,15,0.013069235,turn
p,43,s,2.7000829,22.57695303,15,0.072893603,turn
p,43,s,1.948017384,32.66731142,15,0.055059765,turn
p,43,s,1.475787382,51.85911275,15,0.108508302,turn
p,43,s,0.930380815,64.31625491,15,0.031917224,turn
p,43,s,1.010883902,66.07484565,15,0.092439062,turn
p,43,s,1.210030164,183.7215515,15,0.0099855,turn
p,57,s,0.982554665,18.2754506,15,0.543109749,turn
p,57,s,1.670025933,9.510026763,15,0.140102437,turn
p,57,s,2.244734814,12.76287754,15,0.615874229,turn
p,57,s,1.976661915,21.87511261,15,0.088145935,turn
p,57,s,3.496439027,33.49649322,15,0.035158789,turn
p,65,s,1.485131596,15.85987715,15,0.473097794,turn
p,65,s,1.007307203,7.077423151,15,0.211860556,turn
p,65,s,2.692915476,10.78181929,15,0.022629687,turn
p,65,s,5.584227748,15.71033397,15,0.255972157,turn
p,65,s,8.411479657,26.04226347,15,0.01792508,turn
p,65,s,8.494034742,77.90173514,15,0.156362191,turn
p,65,s,8.321585077,127.6540327,15,0.048578676,turn
p,65,s,8.198042778,131.2831869,15,0.012006419,turn
p,65,s,9.196393303,188.7349543,15,0.005118957,turn
p,65,s,9.311869965,192.4220897,15,0.06925694,turn
