"","study.flight","durs","flight","subflock_split","solitary_split","condition","size","tot_split","flight_n","spltfreq"
"1",9,32.4,1,1,3,"p","s",4,1,0.123456790123457
"2",10,37.2,2,1,0,"p","s",1,2,0.0268817204301075
"3",11,45.2,3,0,1,"p","s",1,3,0.0221238938053097
"4",12,77.4,4,0,1,"p","s",1,4,0.0129198966408269
"5",13,41.6,5,0,1,"p","s",1,5,0.0240384615384615
"6",14,40,6,0,3,"p","s",3,6,0.075
"7",15,47,7,0,0,"p","s",0,7,0
"8",16,43,8,0,1,"p","s",1,8,0.0232558139534884
"9",17,45.6,9,0,1,"p","s",1,9,0.0219298245614035
"10",18,42,10,0,1,"p","s",1,10,0.0238095238095238
"11",19,27.2,11,0,2,"p","s",2,11,0.0735294117647059
"12",20,31.8,28,0,0,"c","s",0,28,0
"13",21,45.4,12,3,1,"p","b",4,12,0.0881057268722467
"14",22,28.4,29,0,0,"c","s",0,29,0
"15",23,34.2,13,0,0,"p","s",0,13,0
"16",24,45.2,14,0,0,"p","s",0,14,0
"17",25,42.8,15,0,0,"p","s",0,15,0
"18",26,30.4,16,2,5,"p","b",7,16,0.230263157894737
"19",27,34.8,17,10,3,"p","b",13,17,0.373563218390805
"20",28,33.8,18,0,0,"p","s",0,18,0
"21",29,32.4,30,0,0,"c","s",0,30,0
"22",30,32.6,19,0,0,"p","s",0,19,0
"23",31,30.8,20,0,3,"p","s",3,20,0.0974025974025974
"24",32,35,21,2,5,"p","b",7,21,0.2
"25",33,23.6,22,2,1,"p","b",3,22,0.127118644067797
"26",34,40.6,23,2,0,"p","s",2,23,0.0492610837438424
"27",35,38.4,24,0,0,"p","s",0,24,0
"28",36,23.6,31,0,0,"c","s",0,31,0
"29",37,25,25,0,0,"p","s",0,25,0
"30",38,27.8,32,5,8,"c","b",13,32,0.467625899280576
"31",39,27.2,26,6,3,"p","b",9,26,0.330882352941176
"32",40,23.8,33,6,6,"c","b",12,33,0.504201680672269
"33",41,26.2,27,1,0,"p","b",1,27,0.0381679389312977
"34",42,29.2,34,0,0,"c","s",0,34,0
"35",43,42.8,35,0,0,"c","s",0,35,0
"36",44,24.8,36,0,0,"c","s",0,36,0
"37",45,29.6,37,0,0,"c","s",0,37,0
"38",46,47.2,38,1,4,"c","b",5,38,0.105932203389831
"39",47,34.8,39,0,0,"c","s",0,39,0
"40",48,31.4,40,0,0,"c","s",0,40,0
"41",49,34.6,41,0,0,"c","s",0,41,0
"42",50,39.6,42,0,0,"c","s",0,42,0
"43",51,54,43,1,2,"c","b",3,43,0.0555555555555556
