"","X","thresh","start_time","end_time","id","centr","conflict","state","turn","dur","ang_vel","outcome","dist2pred","dist2fc","diff_flock_start","diff_flock_end","fl_turn","mainFlock_size","subFlock_size","dist_group","fl_size"
"1",3800,2,379.4,382.2,0,10.4213,0,2,-34.1830259409982,2.80000000000001,-12.2082235503564,"split",40.193,9.16895,-1.22218515729285,-11.7239111604641,-44.6847519441694,7,7,"40-50","s"
"2",3803,2,490,490.8,0,0.78871,0,2,-16.219405023384,0.800000000000011,-20.2742562792298,"split",538.96,0.88448,4.92264819389433,NA,NA,8,8,">60","s"
"3",3805,2,327.2,328,2,1.55346,1,2,-30.1682979885469,0.800000000000011,-37.7103724856831,"split",80.314,2.24143,5.86784125995649,12.1405890231679,-23.8955502253355,7,7,">60","s"
"4",3807,2,14.4,17.6,3,2.2368,0,2,10.3527620529615,3.2,3.23523814155047,"split",50.9258,2.06311,-8.17638072222597,-13.8700043357385,4.65913843944902,8,8,"50-60","s"
"5",3808,2,49.6,50.8,3,0.579113,0,2,-1.29759962283405,1.2,-1.08133301902838,"split",27.474,0.535302,-9.72269923505968,-48.8289008477559,-40.4038012355303,8,8,"20-30","s"
"6",3809,2,192.8,195.2,3,2.30863,1,2,-7.90926061588883,2.39999999999998,-3.29552525662038,"split",22.3015,2.84561,-11.4634067686785,-41.6653917824739,-38.1112456296842,8,8,"20-30","s"
"7",3811,2,301,304.8,3,4.15629,1,2,51.2615815730825,3.80000000000001,13.4898898876533,"split",392.707,4.3774,-2.27267053450739,-60.0358488293138,-6.50159672172386,8,8,">60","s"
"8",3813,2,451.6,453.4,3,0.770969,1,2,5.08323867426056,1.79999999999995,2.82402148570038,"split",52.5221,2.43478,-11.4891735653798,-16.7505766951202,-0.178164455479769,8,8,"50-60","s"
"9",3814,2,473,474.8,3,4.03702,0,2,-17.9811115420073,1.80000000000001,-9.9895064122262,"split",105.306,2.13703,-1.67619043646682,25.5303288593592,9.22540775381879,4,4,">60","s"
"10",3816,2,177.2,179.2,4,2.62434,0,2,-11.7212571518122,2,-5.86062857590609,"split",34.2353,2.8388,-4.52220077412861,-34.2813730643108,-41.4804294419944,8,8,"30-40","s"
"11",3817,2,203.8,204.8,4,9.91905,0,2,-0.2587989301741,1,-0.2587989301741,"split",76.3226,6.97512,-7.54862327832132,-9.17036292593412,-1.8805385777869,8,8,">60","s"
"12",3819,2,448.4,450.8,4,1.10093,1,2,-2.45281322324962,2.40000000000003,-1.02200550968733,"split",52.4775,4.17877,7.02305100680258,15.8682230879346,6.39235885788242,8,8,"50-60","s"
"13",3821,2,290,293,5,4.73995,1,2,-18.6425428383846,3,-6.21418094612819,"split",35.3195,4.7085,-8.75432970564693,-42.3144937754534,-52.2027069081911,8,8,"30-40","s"
"14",3824,2,462.4,463.8,5,1.55758,1,2,36.5164326984705,1.40000000000003,26.0831662131926,"split",48.3038,2.39941,-17.4966628070955,-49.7446636526087,4.2684318529573,8,8,"40-50","s"
"15",3826,2,293,295.2,6,1.89565,0,2,0.346406610803443,2.19999999999999,0.157457550365202,"split",30.1128,1.60351,-1.35859749581311,-13.4173333647717,-11.7123292581551,7,7,"30-40","s"
"16",3827,2,313,314.4,6,4.76198,0,2,13.5844864760176,1.39999999999998,9.70320462572701,"split",36.6077,3.7929,19.9293167596097,21.8905127159489,15.5456824323568,7,7,"30-40","s"
"17",3830,2,131.2,133.4,7,1.25618,1,2,57.546776708467,2.20000000000002,26.1576257765757,"split",33.0592,1.50791,-17.5724179574703,4.31565191858861,79.4348465845259,8,8,"30-40","s"
"18",3832,2,372.8,376.8,7,3.70558,0,2,-36.3316007072112,4,-9.0829001768028,"split",23.9919,5.22488,-4.00854029995094,36.815044135506,4.49198372824576,8,8,"20-30","s"
"19",3835,2,119.4,121,0,5.35208,0,2,1.36921895277342,1.59999999999999,0.855761845483393,"split",3.30236,5.63079,20.9106898348371,NA,NA,7,7,"<10","s"
"20",3838,2,357.4,361.4,0,1.78542,1,2,16.8315419047674,4,4.20788547619184,"split",28.9897,1.60643,11.0157512540514,NA,NA,5,5,"20-30","s"
"21",3846,2,175.4,178.8,2,1.29327,1,2,15.6547674866621,3.40000000000001,4.60434337843002,"split",23.021,0.898147,2.65515567239881,48.2672805621199,61.2668923763832,8,8,"20-30","s"
"22",3847,2,237.6,239.2,2,1.91448,0,2,-9.93400641701696,1.59999999999999,-6.20875401063562,"split",39.7323,1.66756,-9.46736949742178,-44.9282816816439,-45.3949186012391,8,8,"30-40","s"
"23",3849,2,68.8,69.2,3,2.05558,0,2,22.3155722370536,0.400000000000006,55.7889305926332,"split",501.677,3.32122,5.86830903908268,-14.6136182284043,1.8336449695666,8,8,">60","s"
"24",3854,2,440,441.8,3,3.95644,1,2,-3.94209850278791,1.80000000000001,-2.19005472377104,"split",44.9725,2.27639,8.10993080244373,-32.6521538798949,-44.7041831851266,6,6,"40-50","s"
"25",3858,2,208.4,211.8,4,0.586172,1,2,31.4802480432582,3.40000000000001,9.25889648331123,"split",82.6589,0.504143,-4.30338398252997,-27.9693927033228,7.81423932246543,8,8,">60","s"
"26",3859,2,290.2,292.2,4,3.71156,0,2,-27.7059234984811,2,-13.8529617492406,"split",46.8392,1.75983,10.7358002517993,90.4230475396649,51.9813237893845,8,8,"40-50","s"
"27",3860,2,457.8,459.2,4,14.2065,1,2,40.3492155267408,1.39999999999998,28.8208682333867,"split",57.813,11.102,1.29674119608841,-47.6335436048138,-8.58106927416149,6,6,"50-60","s"
"28",3861,2,11.8,13,5,1.64163,0,2,30.233742771794,1.2,25.1947856431617,"split",34.5555,2.44076,1.14243336080921,-11.590669957045,17.5006394539398,8,8,"30-40","s"
"29",3862,2,118.4,119.8,5,6.10731,0,2,2.77206567656739,1.39999999999999,1.98004691183387,"split",13.3584,4.1667,19.5533631907336,NA,NA,5,5,"10-20","s"
"30",3863,2,314.6,318.6,5,1.56492,1,2,-3.44598059113472,4,-0.861495147783681,"split",23.2208,0.781193,-2.67395607958516,-86.5618670914583,-87.3338916030079,7,7,"20-30","s"
"31",3864,2,98.2,100.4,6,0.747885,0,2,16.8191556260716,2.2,7.64507073912344,"split",76.3266,1.09653,-5.12165089755198,-25.1968209370137,-3.25601441339017,8,8,">60","s"
"32",3865,2,356.6,360,6,1.61928,0,2,52.7379601217421,3.39999999999998,15.511164741689,"split",17.409,1.6544,-9.17925538887149,-42.4158455461505,19.5013699644631,5,5,"10-20","s"
"33",3871,2,54.6,57,0,1.83779,1,2,-64.9797054138283,2.4,-27.0748772557618,"split",48.9762,2.20002,2.08611216878083,-31.0032323880328,-98.0690499706419,7,7,"40-50","s"
"34",3874,2,158.2,159.6,0,2.52998,1,2,-93.179367221305,1.40000000000001,-66.5566908723604,"split",68.5135,2.01005,3.45601302595361,16.5451627568438,-80.0902174904148,7,7,">60","s"
"35",3875,2,255.6,259.4,0,5.43434,1,2,138.117942702086,3.79999999999998,36.346827026865,"split",19.4895,4.87889,-21.5911854864697,38.8819386532167,-161.408933158227,7,7,"10-20","s"
"36",3877,2,55,58.2,1,1.86329,0,2,-109.499603076166,3.2,-34.2186259613017,"split",48.586,0.954098,6.80015991639854,20.4358674943356,-95.8638954982285,7,7,"40-50","s"
"37",3878,2,224.8,225.2,1,5.77171,1,2,-28.9264040038866,0.399999999999977,-72.3160100097205,"split",33.6733,7.6868,-1.30679344678293,15.6350367242137,-11.9845738328899,7,7,"30-40","s"
"38",3879,2,72.6,74.2,2,1.85511,1,2,-1.93088842979465,1.60000000000001,-1.20680526862165,"split",19.5595,1.78576,0.539568962466276,-56.314946575055,-58.785403967316,6,6,"10-20","s"
"39",3880,2,133.8,137,2,1.7284,1,2,-5.92168138812325,3.19999999999999,-1.85052543378852,"split",19.6069,1.10748,4.26168358606761,-61.3468771234871,-71.530242097678,8,8,"10-20","s"
"40",3881,2,265.2,266.4,2,2.56773,1,2,-6.04604814894065,1.19999999999999,-5.03837345745059,"split",213.609,0.943503,0.566480594799102,1.15579730354343,-5.45673144019632,4,4,">60","s"
