X,thresh,start_time,end_time,id,centr,conflict,state,turn,dur,ang_vel,outcome,dist2pred,dist2fc,diff_flock_start,diff_flock_end,fl_turn,mainFlock_size,subFlock_size,dist_group,fl_size
3798,2,193.6,195.2,0,7.13275,1,2,-13.61758481,1.6,-8.510990509,turn,19.5679,6.01984,-4.817725126,-23.961345,-32.76120468,8,8,Oct/20,s
3799,2,350.6,350.8,0,1.56573,1,2,-3.549408783,0.2,-17.74704392,turn,35.5152,1.14965,5.687310424,-16.16923602,-25.40595522,8,8,30-40,s
3800,2,379.4,382.2,0,10.4213,0,2,-34.18302594,2.8,-12.20822355,split,40.193,9.16895,-1.222185157,-11.72391116,-44.68475194,7,7,40-50,s
3801,2,431.4,435,0,1.99155,0,2,29.33797441,3.6,8.149437336,turn,30.0602,1.91861,-4.662023896,14.8362506,48.8362489,8,8,30-40,s
3802,2,464,465.6,0,9.59377,0,2,-5.239407117,1.6,-3.274629448,turn,41.6177,7.67417,-5.12197128,45.17388093,45.05644509,7,7,40-50,s
3803,2,490,490.8,0,0.78871,0,2,-16.21940502,0.8,-20.27425628,split,538.96,0.88448,4.922648194,NA,NA,8,8,>60,s
3804,2,229,229.6,1,0.998653,0,2,-14.0261,0.6,-23.37683333,turn,33.1651,1.24031,4.44383224,-13.0348691,-31.50480134,8,8,30-40,s
3805,2,327.2,328,2,1.55346,1,2,-30.16829799,0.8,-37.71037249,split,80.314,2.24143,5.86784126,12.14058902,-23.89555023,7,7,>60,s
3806,2,492,496,2,1.35203,1,2,-0.168265262,4,-0.042066315,split,39.4185,1.22319,4.158092504,NA,NA,7,7,30-40,s
3807,2,14.4,17.6,3,2.2368,0,2,10.35276205,3.2,3.235238142,split,50.9258,2.06311,-8.176380722,-13.87000434,4.659138439,8,8,50-60,s
3808,2,49.6,50.8,3,0.579113,0,2,-1.297599623,1.2,-1.081333019,split,27.474,0.535302,-9.722699235,-48.82890085,-40.40380124,8,8,20-30,s
3809,2,192.8,195.2,3,2.30863,1,2,-7.909260616,2.4,-3.295525257,split,22.3015,2.84561,-11.46340677,-41.66539178,-38.11124563,8,8,20-30,s
3810,2,279,281.2,3,0.933862,1,2,5.141478744,2.2,2.337035793,turn,86.1703,0.803236,-0.494707501,-6.057349615,-0.421163371,8,8,>60,s
3811,2,301,304.8,3,4.15629,1,2,51.26158157,3.8,13.48988989,split,392.707,4.3774,-2.272670535,-60.03584883,-6.501596722,8,8,>60,s
3812,2,399.4,399.6,3,1.98541,0,2,10.82655875,0.2,54.13279375,turn,133.705,1.53792,-3.760326859,-0.318531249,14.26835436,8,8,>60,s
3813,2,451.6,453.4,3,0.770969,1,2,5.083238674,1.8,2.824021486,split,52.5221,2.43478,-11.48917357,-16.7505767,-0.178164455,8,8,50-60,s
3814,2,473,474.8,3,4.03702,0,2,-17.98111154,1.8,-9.989506412,split,105.306,2.13703,-1.676190436,25.53032886,9.225407754,4,4,>60,s
3815,2,492.4,493.8,3,1.66043,0,2,20.90981786,1.4,14.93558418,turn,40.6389,1.23409,11.06120023,3.745086199,13.59370382,7,7,40-50,s
3816,2,177.2,179.2,4,2.62434,0,2,-11.72125715,2,-5.860628576,split,34.2353,2.8388,-4.522200774,-34.28137306,-41.48042944,8,8,30-40,s
3817,2,203.8,204.8,4,9.91905,0,2,-0.25879893,1,-0.25879893,split,76.3226,6.97512,-7.548623278,-9.170362926,-1.880538578,8,8,>60,s
3818,2,278.2,281,4,2.33562,1,2,1.713692431,2.8,0.612033011,turn,85.5384,2.52439,0.959636896,-0.264547682,0.489507853,8,8,>60,s
3819,2,448.4,450.8,4,1.10093,1,2,-2.452813223,2.4,-1.02200551,split,52.4775,4.17877,7.023051007,15.86822309,6.392358858,8,8,50-60,s
3820,2,21.4,22.6,5,2.81431,1,2,8.557633618,1.2,7.131361348,turn,62.7552,3.54106,-3.709806249,-2.571912901,9.695526966,7,7,>60,s
3821,2,290,293,5,4.73995,1,2,-18.64254284,3,-6.214180946,split,35.3195,4.7085,-8.754329706,-42.31449378,-52.20270691,8,8,30-40,s
3822,2,300.4,301,5,12.449,1,2,11.87549522,0.6,19.79249203,turn,12.9215,8.01219,25.5966187,20.16941271,6.448289227,6,6,Oct/20,s
3823,2,398,400.4,5,2.87401,0,2,25.09766687,2.4,10.45736119,turn,136.713,3.98941,-6.871271873,1.505910812,33.47484955,8,8,>60,s
3824,2,462.4,463.8,5,1.55758,1,2,36.5164327,1.4,26.08316621,split,48.3038,2.39941,-17.49666281,-49.74466365,4.268431853,8,8,40-50,s
3825,2,32.8,35.8,6,1.62557,0,2,-10.5157776,3,-3.505259199,turn,72.5238,1.7809,-7.940240181,-1.257056794,-3.83259421,8,8,>60,s
3826,2,293,295.2,6,1.89565,0,2,0.346406611,2.2,0.15745755,split,30.1128,1.60351,-1.358597496,-13.41733336,-11.71232926,7,7,30-40,s
3827,2,313,314.4,6,4.76198,0,2,13.58448648,1.4,9.703204626,split,36.6077,3.7929,19.92931676,21.89051272,15.54568243,7,7,30-40,s
3828,2,330.6,331.4,6,4.92802,0,2,-12.969794,0.8,-16.2122425,turn,67.8005,2.90968,-8.632644222,1.235167156,-3.101982619,7,7,>60,s
3829,2,74.6,77,7,1.21516,0,2,7.982638647,2.4,3.326099436,turn,47.3274,1.58647,5.167369598,-2.465870832,0.349398217,8,8,40-50,s
3830,2,131.2,133.4,7,1.25618,1,2,57.54677671,2.2,26.15762578,split,33.0592,1.50791,-17.57241796,4.315651919,79.43484658,8,8,30-40,s
