"","time","fcX_real","fcY_real","turn_dir","turn_id","tcolor"
"1",365,328.468375,306.3275,"-1","1","nt"
"2",365.2,326.14175,303.248875,"-1","1","nt"
"3",365.4,323.864125,300.12325,"-1","1","nt"
"4",365.6,321.71425,296.981125,"1","2","nt"
"5",365.8,319.5435,293.795,"-1","3","nt"
"6",366,317.361625,290.649125,"-1","3","nt"
"7",366.2,315.20575,287.448375,"1","4","nt"
"8",366.4,313.066375,284.218,"1","4","nt"
"9",366.6,310.897125,281.03075,"1","4","nt"
"10",366.8,308.743,277.8735,"-1","5","nt"
"11",367,306.699875,274.7445,"1","6","nt"
"12",367.2,304.697125,271.60825,"-1","7","nt"
"13",367.4,302.721625,268.458875,"-1","7","nt"
"14",367.6,300.6985,265.254,"-1","7","nt"
"15",367.8,298.64925,262.007875,"1","8","nt"
"16",368,296.58525,258.785125,"1","8","nt"
"17",368.2,294.4855,255.5755,"1","8","nt"
"18",368.4,292.360625,252.396125,"1","8","nt"
"19",368.6,290.1995,249.2555,"-1","9","nt"
"20",368.8,288.041625,246.128375,"-1","9","nt"
"21",369,285.964125,242.986,"1","10","nt"
"22",369.2,283.896875,239.792875,"1","10","nt"
"23",369.4,281.7995,236.5545,"-1","11","nt"
"24",369.6,279.674,233.310625,"-1","11","nt"
"25",369.8,277.5325,230.061375,"-1","11","nt"
"26",370,275.426375,226.735,"1","12","nt"
"27",370.2,273.32975,223.394,"-1","13","nt"
"28",370.4,271.2595,220.116375,"-1","13","nt"
"29",370.6,269.195125,216.8555,"1","14","r"
"30",370.8,267.091125,213.54825,"1","14","r"
"31",371,264.895625,210.297625,"1","14","r"
"32",371.2,262.56175,207.166875,"1","14","r"
"33",371.4,260.084125,204.18625,"1","14","r"
"34",371.6,257.49275,201.328625,"1","14","r"
"35",371.8,254.7685,198.624625,"1","14","r"
"36",372,251.89275,196.06925,"1","14","r"
"37",372.2,248.841625,193.709375,"1","14","r"
"38",372.4,245.638625,191.551625,"1","14","r"
"39",372.6,242.315,189.55625,"1","14","r"
"40",372.8,238.94675,187.693125,"1","14","r"
"41",373,235.5745,185.92825,"1","14","r"
