"","outcome","group","freq","perc","var"
"1","split","low",1525,46.5933394439352,"ang_vel"
"2","split","high",2444,74.6715551481821,"ang_vel"
"3","turn","low",1748,53.4066605560648,"ang_vel"
"4","turn","high",829,25.3284448518179,"ang_vel"
"5","split","center",1812,55.3620531622365,"centrality"
"6","split","edge",2157,65.9028414298808,"centrality"
"7","turn","center",1461,44.6379468377635,"centrality"
"8","turn","edge",1116,34.0971585701192,"centrality"
"9","split","in",1890,60.0762873490146,"esc_dir"
"10","split","out",2079,61.1470588235294,"esc_dir"
"11","turn","in",1256,39.9237126509854,"esc_dir"
"12","turn","out",1321,38.8529411764706,"esc_dir"
